herramienta,tipo,hallazgo,severidad,iso27001,cobit2019
Trivy,Vulnerability,CVE-2026-21413 | libraw23t64 | wordpress:latest (debian 13.6) | LibRaw: LibRaw: Arbitrary code execution via heap-based buffer overflow in lossless JPEG loading,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-76642 | libsmartcols1 | wordpress:latest (debian 13.6) | util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78408 | libsmartcols1 | wordpress:latest (debian 13.6) | util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78409 | libsmartcols1 | wordpress:latest (debian 13.6) | util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,"CVE-2026-78410 | libsmartcols1 | wordpress:latest (debian 13.6) | util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-11822 | libsqlite3-0 | wordpress:latest (debian 13.6) | sqlite: SQLite: Arbitrary code execution via crafted FTS5 full-text search data,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-11824 | libsqlite3-0 | wordpress:latest (debian 13.6) | sqlite: SQLite: Arbitrary code execution and crash via heap-based buffer overflow in FTS5,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-58050 | libssh2-1t64 | wordpress:latest (debian 13.6) | libssh2: libssh2: Heap buffer overflow via integer overflow in publickey attribute allocation,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-14456 | libssl3t64 | wordpress:latest (debian 13.6) | openssl: OpenSSL: Denial of Service via unbounded memory growth in QUIC server,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-16742 | libsystemd0 | wordpress:latest (debian 13.6) | systemd: systemd-homed: Local privilege escalation via missing home-record signature verification,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-36849 | libtiff6 | wordpress:latest (debian 13.6) | [Denial of Service via large SamplesPerPixel tag],HIGH,A.8.8,DSS05.07
